,C,H,H_plus,N,O,P,S,Na,Cl,K,e_minus,ACN,Ac_minus,Mg,Species_class
FFA,0,1,0,0,2,0,0,0,0,0,0,0,0,0,FFA
DGCC,10,19,0,1,8,0,0,0,0,0,0,0,0,0,IP_DAG
DGDG,15,26,0,0,15,0,0,0,0,0,0,0,0,0,IP_DAG
DGTS_DGTA,10,19,0,1,7,0,0,0,0,0,0,0,0,0,IP_DAG
DNPPE,43,76,0,3,12,1,0,0,0,0,0,0,0,0,DNPPE
PE,5,12,0,1,8,1,0,0,0,0,0,0,0,0,IP_DAG
PG,6,13,0,0,10,1,0,0,0,0,0,0,0,0,IP_DAG
PC,8,18,0,1,8,1,0,0,0,0,0,0,0,0,IP_DAG
PUA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PUA
SQDG,9,16,0,0,12,0,1,0,0,0,0,0,0,0,IP_DAG
Chl_a,55,72,0,4,5,0,0,0,0,0,0,0,0,1,pigment
MGDG,9,16,0,0,10,0,0,0,0,0,0,0,0,0,IP_DAG
ACN,2,3,0,1,0,0,0,0,0,0,0,0,0,0,
Ac-,2,3,0,0,2,0,0,0,0,0,0,0,0,0,
[M-H]-,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,adduct_neg
[M+HAc-H]-,0,0,0,0,0,0,0,0,0,0,1,0,1,0,adduct_neg
[M+Cl]-,0,0,0,0,0,0,0,0,1,0,1,0,0,0,adduct_neg
[M+2NaAc+Cl]-,0,0,0,0,0,0,0,2,1,0,1,0,2,0,adduct_neg
[M+3Ac+2Na]-,0,0,0,0,0,0,0,2,0,0,1,0,3,0,adduct_neg
[M+NaAc-H]-,0,-1,0,0,0,0,0,1,0,0,1,0,1,0,adduct_neg
[M+K-2H]-,0,-2,0,0,0,0,0,0,0,1,1,0,0,0,adduct_neg
[M+Na-2H]-,0,-2,0,0,0,0,0,1,0,0,1,0,0,0,adduct_neg
[M+Na+Cl-H]-,0,-1,0,0,0,0,0,1,1,0,1,0,0,0,adduct_neg
[M+NaAc+Cl]-,0,0,0,0,0,0,0,1,1,0,1,0,1,0,adduct_neg
[M+NaAc+HAc-H]-,0,0,0,0,0,0,0,1,0,0,1,0,2,0,adduct_neg
[M+2Na-H]+,0,-1,0,0,0,0,0,2,0,0,-1,0,0,0,adduct_pos
[M+H]+,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,adduct_pos
[M+K]+,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,adduct_pos
[M+Na]+,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,adduct_pos
[M+NH4+ACN]+,0,4,0,1,0,0,0,0,0,0,-1,1,0,0,adduct_pos
[M+NH4]+,0,4,0,1,0,0,0,0,0,0,-1,0,0,0,adduct_pos
[M+C2H3Na2O2]+,2,3,0,0,2,0,0,2,0,0,-1,0,0,0,adduct_pos
[M+2Na+Cl]+,0,0,0,0,0,0,0,2,1,0,-1,0,0,0,adduct_pos
[M+C4H10N3]+,4,10,0,3,0,0,0,0,0,0,-1,0,0,0,adduct_pos
TAG,3,5,0,0,6,0,0,0,0,0,0,0,0,0,TAG
19prime_but_fuco,46,64,0,0,8,0,0,0,0,0,0,0,0,0,pigment
19prime_hex_fuco,48,68,0,0,8,0,0,0,0,0,0,0,0,0,pigment
Allox,40,52,0,0,2,0,0,0,0,0,0,0,0,0,pigment
Alpha_carotene,40,56,0,0,0,0,0,0,0,0,0,0,0,0,pigment
Beta_carotenes,40,56,0,0,0,0,0,0,0,0,0,0,0,0,pigment
Chl_b,55,70,0,4,6,0,0,0,0,0,0,0,0,1,pigment
Chl_c2,35,28,0,4,5,0,0,0,0,0,0,0,0,1,pigment
Chl_c3,36,28,0,4,7,0,0,0,0,0,0,0,0,1,pigment
Chlide_a,35,34,0,4,5,0,0,0,0,0,0,0,0,1,pigment
Croco,40,54,0,0,1,0,0,0,0,0,0,0,0,0,pigment
Dd_Ddc,40,54,0,0,3,0,0,0,0,0,0,0,0,0,pigment
Dt,40,54,0,0,2,0,0,0,0,0,0,0,0,0,pigment
Echin,40,54,0,0,1,0,0,0,0,0,0,0,0,0,pigment
Fuco,42,58,0,0,6,0,0,0,0,0,0,0,0,0,pigment
Lut,40,56,0,0,2,0,0,0,0,0,0,0,0,0,pigment
Neox_Nos,40,56,0,0,4,0,0,0,0,0,0,0,0,0,pigment
Peri,39,50,0,0,7,0,0,0,0,0,0,0,0,0,pigment
Pheophytin_a,55,74,0,4,5,0,0,0,0,0,0,0,0,0,pigment
Pras,40,56,0,0,4,0,0,0,0,0,0,0,0,0,pigment
Viol,40,56,0,0,4,0,0,0,0,0,0,0,0,0,pigment
Zeax,40,56,0,0,2,0,0,0,0,0,0,0,0,0,pigment
